,NameID,Name,TitleID,TitleName,Genre,Rating,Year
0,nm3918035,Zendaya,tt12676326,Malcolm & Marie,Drama,6.7,2021
1,nm3918035,Zendaya,tt6182908,Smallfoot,Animation,6.6,2018
2,nm3918035,Zendaya,tt1485796,The Greatest Showman,Biography,7.6,2017
3,nm4855517,Simu Liu,tt14837960,Bright: Samurai Soul,Animation,5.6,2021
4,nm4855517,Simu Liu,tt9376612,Shang-Chi and the Legend of the Ten Rings,Action,7.5,2021
5,nm4855517,Simu Liu,tt9024096,Women Is Losers,Drama,5.3,2021
6,nm4855517,Simu Liu,tt4004084,Antisocial 2,Horror,4.6,2015
7,nm4855517,Simu Liu,tt3020520,Bike Cop: Begins,Action,,2013
8,nm4855517,Simu Liu,tt2707762,Kung Fu Cops,Comedy,,2013
9,nm4855517,Simu Liu,tt4269118,Seven in Heaven,Drama,5.4,2018
10,nm4855517,Simu Liu,tt3847642,Kill Order,Action,4.2,2017
11,nm4855517,Simu Liu,tt2172055,Sick: Survive the Night,Horror,2.9,2012
12,nm0158626,John Cho,tt5562070,Wish Dragon,Animation,7.2,2021
13,nm0158626,John Cho,tt7488208,Over the Moon,Animation,6.4,2020
14,nm0158626,John Cho,tt3612126,The Grudge,Fantasy,4.3,2020
15,nm0158626,John Cho,tt9398640,Between Two Ferns: The Movie,Comedy,6.1,2019
16,nm0158626,John Cho,tt7461200,The Oath,Comedy,5.5,2018
17,nm0158626,John Cho,tt6900448,Mirai,Animation,7.0,2018
18,nm0158626,John Cho,tt7668870,Searching,Drama,7.6,2018
19,nm0158626,John Cho,tt5228262,A Happening of Monumental Proportions,Comedy,4.7,2017
20,nm0158626,John Cho,tt5758802,"Literally, Right Before Aaron",Comedy,4.6,2017
21,nm0158626,John Cho,tt5795086,Gemini,Crime,5.4,2017
22,nm0158626,John Cho,tt5990474,Columbus,Drama,7.3,2017
23,nm0158626,John Cho,tt2660888,Star Trek Beyond,Action,7.0,2016
24,nm0158626,John Cho,tt1468846,Get a Job,Comedy,5.3,2016
25,nm0158626,John Cho,tt4270516,Grandma,Comedy,6.7,2015
26,nm0158626,John Cho,tt3346224,Zipper,Drama,5.8,2015
27,nm0158626,John Cho,tt2576852,The Tale of The Princess Kaguya,Animation,8.0,2013
28,nm0158626,John Cho,tt1854580,That Burning Feeling,Comedy,5.6,2013
29,nm0158626,John Cho,tt1408101,Star Trek Into Darkness,Action,7.7,2013
30,nm0158626,John Cho,tt2024432,Identity Thief,Comedy,5.7,2013
31,nm0158626,John Cho,tt1386703,Total Recall,Action,6.2,2012
32,nm0158626,John Cho,tt1605630,American Reunion,Comedy,6.7,2012
33,nm0158626,John Cho,tt1268799,A Very Harold & Kumar Christmas,Adventure,6.3,2011
34,nm0158626,John Cho,tt1227927,Caller ID: Entity,Sci-Fi,3.8,2010
35,nm0158626,John Cho,tt1276105,Saint John of Las Vegas,Comedy,5.7,2009
36,nm0158626,John Cho,tt0796366,Star Trek,Action,7.9,2009
